TimeCreated,EventID,Account,SourceIP,TargetAccount,ProcessName,CommandLine,Message
2026-06-15 14:05:00,4624,rwilliams,192.168.10.43,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.43"
2026-06-15 14:05:00,4624,ktaylor,192.168.10.44,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.44"
2026-06-15 15:05:00,4624,jsmith,192.168.10.45,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.45"
2026-06-15 15:05:00,4624,amartinez,192.168.10.46,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.46"
2026-06-15 15:05:00,4624,rwilliams,192.168.10.47,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.47"
2026-06-15 15:05:00,4624,ktaylor,192.168.10.48,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.48"
2026-06-15 16:05:00,4624,jsmith,192.168.10.49,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.49"
2026-06-15 16:05:00,4624,amartinez,192.168.10.20,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.20"
2026-06-15 16:05:00,4624,rwilliams,192.168.10.21,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.21"
2026-06-15 16:05:00,4624,ktaylor,192.168.10.22,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.22"
2026-06-15 17:05:00,4624,jsmith,192.168.10.23,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.23"
2026-06-15 17:05:00,4624,amartinez,192.168.10.24,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.24"
2026-06-15 17:05:00,4624,rwilliams,192.168.10.25,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.25"
2026-06-15 17:05:00,4624,ktaylor,192.168.10.26,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.26"
2026-06-15 02:10:00,4625,admin,203.0.113.66,,,,"An account failed to log on. Account: admin, Source IP: 203.0.113.66"
2026-06-15 02:10:25,4625,administrator,203.0.113.66,,,,"An account failed to log on. Account: administrator, Source IP: 203.0.113.66"
2026-06-15 02:10:50,4625,root,203.0.113.66,,,,"An account failed to log on. Account: root, Source IP: 203.0.113.66"
2026-06-15 02:11:15,4625,svc_backup,203.0.113.66,,,,"An account failed to log on. Account: svc_backup, Source IP: 203.0.113.66"
2026-06-15 02:11:40,4625,jsmith,203.0.113.66,,,,"An account failed to log on. Account: jsmith, Source IP: 203.0.113.66"
2026-06-15 02:12:05,4625,guest,203.0.113.66,,,,"An account failed to log on. Account: guest, Source IP: 203.0.113.66"
2026-06-15 02:12:30,4625,test,203.0.113.66,,,,"An account failed to log on. Account: test, Source IP: 203.0.113.66"
2026-06-15 02:12:55,4625,oracle,203.0.113.66,,,,"An account failed to log on. Account: oracle, Source IP: 203.0.113.66"
2026-06-15 02:13:20,4625,sa,203.0.113.66,,,,"An account failed to log on. Account: sa, Source IP: 203.0.113.66"
2026-06-15 02:13:45,4625,deploy,203.0.113.66,,,,"An account failed to log on. Account: deploy, Source IP: 203.0.113.66"
2026-06-15 02:14:40,4624,admin,203.0.113.66,,,,"An account was successfully logged on. Account: admin, Source IP: 203.0.113.66"
